Product_Name,Price,Monthly_Purchases,Ratings,Brand
Royal Herbs chamomile 12 bags,15.25,100,4.4,Royal Herbs
Al Doha Egyptian Jasmine Rice-1KG,153.95,100,4.6,Al Doha
Hero Baby Teething Biscuits for 6 Months,145.0,100,4.3,Hero Baby
Rabea original teabags 100,179.0,100,4.8,Rabea original
"Magical Flavors Gummy Teeth Candy, 80g",23.5,100,4.6,Magical Flavors
iSiS Chai Karak – 15 Envelopes,91.05,100,1.8,iSiS Chai
Bake Rolz Olives Family Size (90g),15.96,100,4.2,Bake Rolz
Dobella white sugar 100sachet *5gm,57.78,200,4.6,Dobella white
EL-YEMENI Turkish Coffee with 10% Cardamom (Dark Roasted),163.45,100,4.2,EL-YEMENI Turkish
Abu Auf Puffs Ketchup Flavor 40 gm,10.95,100,4.7,Abu Auf
"Ponky Nacho Snacks, Blazing Hot, 30g",7.0,50,3.6,Ponky Nacho
"Thio Premium Light Soy Sauce, 330ml",28.95,100,3.7,Thio Premium
Royal Herbs Apple Cider 20 TB,61.0,100,4.1,Royal Herbs
Chefy Mix Chicken Bouillon 150 gm,33.95,100,4.0,Chefy Mix
"Aslan Juice Mango Peach, 1 L",37.0,100,2.7,Aslan Juice
Alpro almond milk unsweetened - 1l,179.95,100,4.4,Alpro almond
Al Doha Easy rice Oriental Rice - 324 gm,32.4,100,4.1,Al Doha
Chefy Mix BBQ Sauce1 kg,87.5,100,4.2,Chefy Mix
Haj Arafa Meat Spices 35 g,11.0,100,4.6,Haj Arafa
Chefy Mix Beef Bouillon 18 gm,3.4,50,4.0,Chefy Mix
Abu Auf Instant Coffee Gold- 85 gm,195.88,100,4.6,Abu Auf
"Hero Baby Apple Compote Jar, 125 gm",42.5,100,4.5,Hero Baby
Imtenan dates syrup- 450 gm,94.05,100,4.2,Imtenan dates
Lavazza Dek Decafinato Compatible Capsules With Nespresso 10 Capsules Blue,250.0,100,4.2,Lavazza Dek
Abu Auf Turkish Coffee Light Roast ( Plain ) Pack - 100 gm,91.95,100,4.3,Abu Auf
"Class A Stroop Wafel, Caramel Dark Chocolate Coated, 41g",13.95,100,4.1,Class A
Rehana golden basmati rice - 1 kg,99.95,100,4.1,Rehana golden
"Halla Sunflower Oil, 5 Liter",452.75,200,4.5,Halla Sunflower
Raw Cocoa Powder - 90gm,99.0,100,4.2,Raw Cocoa
Bon Aroma Gold Instant Coffee - 200 gm,349.0,100,4.2,Bon Aroma
Royal Herbs green tea with mint 25 bags,27.95,100,4.2,Royal Herbs
Royal Black Tea Cardamon 20TB,42.45,100,4.2,Royal Black
Abu Auf Popcorn caramel & cinnamon - 100 gm,31.75,50,4.1,Abu Auf
iSiS Natural Regieme Tea with Peppermint – 50 Envelopes,49.0,100,4.2,iSiS Natural
Roasted Pistachios 450g - Olive,490.0,100,4.5,Roasted Pistachios
Marvel Coconut Oil 500ml,185.0,100,4.2,Marvel Coconut
Abu Auf Original Crispy Granola - 350 gm,96.25,100,4.3,Abu Auf
iSiS Natural Cumin with Lemon Herbal Tea – 20 Envelopes,53.63,100,4.2,iSiS Natural
Bab ElSham Chicken Spice 35g,25.0,100,4.6,Bab ElSham
LEZZET Spread Rocher chocolate With Hazelnut 300 Grams,120.0,100,3.9,LEZZET Spread
"Rana hot sauce, 180 ml - pack of 1",36.5,100,4.4,Rana hot
"Faiz Al Suhagy Bicarbonate Sodium, 75 gm",13.28,100,4.3,Faiz Al
Mini Magnum Mix Chocolate & Cream (78g),15.0,50,5.0,Mini Magnum
Imtenan Star anise 70gm,119.0,100,4.4,Imtenan Star
Amour Biscuits Set of 6 Vegan,76.25,100,3.4,Amour Biscuits
Monin sugar free caramel syrup - 250 ml,240.0,100,4.4,Monin sugar
Dreem Cake Chef 23gm - Set of 24,144.0,100,4.4,Dreem Cake
Chipsy Chipsawich Tomato Ketchup Potato Chips (45 g-60 g),10.0,50,4.1,Chipsy Chipsawich
"Gro Almond Milk Lactous,gluten, sugar free 1L, Package May Vary",127.46,100,4.0,Gro Almond
Mero mayonnaise premium 320ml,39.5,100,3.8,Mero mayonnaise
Instant Coffee Box (3x1),79.9,100,3.8,Instant Coffee
Al Doha Black Pepper Powder (Jar) - 230gm,219.2,200,4.8,Al Doha
Katakito Extra Milk Cream Set Of 12,273.74,100,4.6,Katakito Extra
NESCAFÉ DOLCE GUSTO Latte Macchiato 16 Capsules 8 Servings,410.0,100,4.3,NESCAFÉ DOLCE
"Juhayna Classic Orange Juice, 1 Liter",31.95,100,4.4,Juhayna Classic
"Illy Espresso Whole Beans Medium Roast, 250g",560.0,100,4.3,Illy Espresso
Imtenan Senna tea 18 teabag,40.0,100,4.5,Imtenan Senna
Mero sugarcane syrup molasses - 800g,57.5,100,4.2,Mero sugarcane
Rabea Extra strong tea bags 100,118.75,100,4.6,Rabea Extra
Ahmad Tea Green Tea w/ Mint 100 Tagged,197.0,100,4.6,Ahmad Tea
"Lavazza Qualita Oro Grounded Coffee Blend, 100% Arabica Medium Roast, 250 grams",458.0,100,4.4,Lavazza Qualita
Cuppa Turkish Coffee - Plain - Light Roast - Bag 50 g,45.0,50,3.1,Cuppa Turkish
Sweet&Slim sweetner 25 Sachets,36.0,100,4.3,Sweet&Slim sweetner
Lavida Ketchup Sauce 1kg,71.0,100,4.4,Lavida Ketchup
iSiS Natural Sage Herbal Tea – 20 Envelopes,30.25,100,4.5,iSiS Natural
Hero Goodies Tomato Puffs 30g,14.75,100,3.7,Hero Goodies
Imtenan Chicory And Artichoke Tea - 18 Teabag,43.0,100,4.2,Imtenan Chicory
Abu Auf Barista Blend Espresso 200 Gm (grinded),199.9,200,3.6,Abu Auf
Torabika Tora Bika Instant Coffee - Macchiato - 20 pcs - 500 grams,339.0,100,4.2,Torabika Tora
Riri Rice with Vitamins 150 gm,30.0,100,4.0,Riri Rice
"Misr Café Instant Karak Chai Tea with Creamer, Sugar and cardomom, 8 x 25g sachets",150.0,100,4.4,Misr Café
Heinz TK Flavor Garlic and Oregano Flavor Tomato Ketchup 125 g,21.5,100,4.2,Heinz TK
"California Garden Red Kidney Beans, 400g",41.66,100,4.1,California Garden
Norica Garlic Powder 100% Natural - 100 gm,28.2,100,4.4,Norica Garlic
Latteria Full milk powder instant 1 KG,400.1,100,3.7,Latteria Full
Norica 100% Natural Rosemary Leaves - 40 gm,18.8,100,4.7,Norica 100%
iSiS Natural Fenugreek Herbal Tea – 20 Envelopes,26.05,100,4.4,iSiS Natural
Green Cola with Stevia - 330 ml,19.95,100,4.2,Green Cola
"Lavazza Crema e Gusto Dolce, Medium Light Roast, Ground Coffee, Nespresso Compatible Capsules, 10 Count, Cocoa & Hazelnut, Arabica & Robusta Blend",225.0,200,4.1,Lavazza Crema
"Aslan Juice Kiwi Lemon Mint, 1 L",37.0,100,2.2,Aslan Juice
Sunbites Tomato & Herbs Bread Bites (78 g-90 g),15.0,100,4.3,Sunbites Tomato
Ali Cafe Classic 3 in 1 Instant 20g,209.0,100,4.5,Ali Cafe
Imtenan Wild Peppermint Herbal Drink- 16 Tea Bag - 16g,33.0,100,4.4,Imtenan Wild
iSiS Natural Chamomile Herbal Tea – 20 Envelopes,35.07,100,4.5,iSiS Natural
costa espresso colombian roast,249.0,100,3.5,costa espresso
Spiro Spathis Lemon Soda 330 ml,11.0,100,4.4,Spiro Spathis
Ahmad Tea Raspberry & Pomegranate Green Tea 20 Tea Bags Sachet,86.0,100,4.2,Ahmad Tea
"Lipton Yellow Label Black Tea with sun dried tea leaves, Classic, for a Rich Natural Taste, 50 Tea Bags",61.5,100,4.5,Lipton Yellow
Scrunch - belgian dark chocolate barks with almond 35g,54.5,100,4.1,Scrunch -
Lamar almond milk - 1 litre,106.25,100,3.7,Lamar almond
Eco Healthy - Extra Virgin Coconut Oil - 300 ml,230.0,100,4.5,Eco Healthy
Class A Rolled Oat Flakes,59.5,200,4.3,Class A
iSiS Natural Moringa Herbal Tea – 20 Envelopes,35.07,100,4.2,iSiS Natural
Haj Arafa Béchamel Mix with Cheese 35 g,8.0,100,4.0,Haj Arafa
"5Minutes ,Custard jar - 250gm",35.0,100,4.2,"5Minutes ,Custard"
Imtenan gum arabic 150g,109.0,100,4.3,Imtenan gum
Bragg Organic Raw Apple Cider Vinegar - 473 ml pack may vary,547.0,100,4.4,Bragg Organic
Nestle Pure Life Water carton 0.6L set of 20,110.01,100,4.4,Nestle Pure
Abu Auf Puffs Cheese Flavor 40 gm,10.95,100,4.4,Abu Auf
Haj Arafa Saffron Rice Spice 35 g,10.0,50,4.1,Haj Arafa
Chefy Mix Far Eastern Seasoning 90 gm,30.0,100,4.4,Chefy Mix
Al Abd Biscuit With Butter- 18 Pieces,67.32,100,4.3,Al Abd
JAFCo Roasted and Salted Peanuts 80 g,19.8,50,4.1,JAFCo Roasted
Beyti Kol Youm Mango 225ml,5.95,50,3.6,Beyti Kol
Cheetos Puffs Flaming Hot - (20 g-32 g),5.0,50,3.6,Cheetos Puffs
ZARY Premium Dates 700 gm,82.0,100,3.5,ZARY Premium
"Coffee Break Cappuccino Hazelnut - 8 Sachat, 18 gm",65.63,100,4.2,Coffee Break
Imtenan German chamomile 35 gm,39.0,100,4.5,Imtenan German
Nescafe Instant coffee 3 in 1 Shot 9 Gm -24 Bags,110.0,100,4.1,Nescafe Instant
Organic Nation | Sunflower Seeds | 100% Natural | Source of Omega 3 | Source of Plant Protein | Source of Folic Acid | Anti-inflammatory | Support Digestion | Reduces the Risk of Heart Diseases | 200g,109.0,100,4.5,Organic Nation
Lamar pomegranate juice 1 ltr,59.0,100,4.6,Lamar pomegranate
"Rawaby ghee,350 g - pouch",35.36,100,4.3,"Rawaby ghee,350"
Regina pasta rice 400gm,28.2,100,4.6,Regina pasta
Hero Delicia Jam with Strawberry Flavor - 350 g,56.0,100,4.4,Hero Delicia
Harvest peeled beans with sauce - 400 gm,21.5,100,4.1,Harvest peeled
"KitKat Chunky Chocolate Mini Bag, 250g",179.2,100,4.3,KitKat Chunky
Al Douha Dry Bulgur - 500 Gm,60.0,100,4.6,Al Douha
Gotella Chocolate Spread With Hazelnut 850 g,150.0,100,3.8,Gotella Chocolate
Al Doha Black Eyed Peas - 500 grams,104.2,100,4.7,Al Doha
"Caffe Borbone Whole Bean Coffee, Medium Roast Arabica and Robusta Blend, Crema Classica, Full-Bodied and Balanced Italian Coffee, 2.2 lb Bag",900.0,100,4.4,Caffe Borbone
"Al Doha Egyption White Beans, 500 gm",81.95,100,4.6,Al Doha
"Mazaq 3-in-1 instant tea with milk, extra, 27 gm - 12 sachets",116.0,100,4.2,Mazaq 3-in-1
"Ponky Nacho Snacks, Ranch Sauce Flavor, 30g",7.0,50,3.4,Ponky Nacho
Sparx Carbonated Strawberry Watermelon Flavored Soda Drink 300 ml,13.95,100,3.0,Sparx Carbonated
"Hero Baby Mandarin And Banana With Pear jar, 125 gm",42.5,100,4.5,Hero Baby
Wadi Food Whole Kernel Sweet Corn 400gm Tin,52.0,100,4.3,Wadi Food
"ADD-Me (3altabkha) Marinated Tomato Sauce with Salt & Pepper, 375gm",34.25,100,4.2,ADD-Me (3altabkha)
"Juhayna Pure Red Grapes Juice, 1 Liter",58.95,100,4.2,Juhayna Pure
Almond Flour | 450g | Gluten Free | Fine Grind | Delicious and Unique Taste of Natural Almonds | Ideal for Keto and Healthy Bread | Zip-Sealed Packaging | Easy to Open and Close to Keep Product Fresh,295.0,100,4.1,Almond Flour
Nesquik Chocolate Powder 135g,60.8,100,4.3,Nesquik Chocolate
Zero Treat Healthy Ketchup Sauce,135.0,100,4.0,Zero Treat
Shaheen cafe ESPRESSO AUTENTICA 200G,252.39,100,4.2,Shaheen cafe
Organic Nation | Chia Seeds |100% Natural | Non-GMO | Whole Grain | Source of Plant Protein | Rich in Fiber | Antioxidant | Diet Friendly | Omega-3 | Lowers Blood Sugar Levels | 200g,109.0,100,4.4,Organic Nation
"Juhayna pure orange and carrot juice, 1 liter",55.95,100,4.3,Juhayna pure
Abu Auf Pretzels ketchup 25 gm,7.0,100,4.2,Abu Auf
Ahmad Tea Evening Tea Decaffeinated – 20 bags,94.0,100,4.5,Ahmad Tea
Marvel indian basmati rice jar 2kg,265.0,100,4.4,Marvel indian
Fanta Orange Soft Drink 355 ml,12.95,100,4.7,Fanta Orange
Shots Turkish Coffee Cardamom Medium Roast Regular Blend - 250 gm,175.0,50,3.9,Shots Turkish
Kit Kat Nestle Kitkat Chunky Chocolate Wafer 40g,25.95,50,4.8,Kit Kat
Coffee Break Cappuccino Classic,70.47,100,5.0,Coffee Break
"Beyti Juice Mango - 235 ml, 5+1",50.0,300,4.5,Beyti Juice
"Sante Granola with Nuts, 350 g",144.0,100,4.3,Sante Granola
"Juhayna classic pineapple juice, 1 liter",37.0,100,4.4,Juhayna classic
Mero hazelnut spread chocolate 900gm,149.5,100,3.8,Mero hazelnut
Uni Cafe Mix 2 in 1 Instant Coffee No Sugar - 24 Sachets x 12g,129.99,100,4.2,Uni Cafe
"Scrunch - cashew, almond and pumpkin seed clusters 40g",44.95,100,4.4,Scrunch -
Vitrac creamy fig jam - 430 gm,44.0,100,4.3,Vitrac creamy
El Abd Biscuits with Chocolate Chunks Vanilla (18 Pieces),70.25,100,4.2,El Abd
Al Doha Easy rice Sayadia Rice - 327 gm,30.52,100,4.3,Al Doha
Ni Walnut Walnut 400g,334.99,100,3.9,Ni Walnut
Al Kabous Black Tea 100 Teabags (2g),155.0,100,4.3,Al Kabous
Sweet&Slim 100 Sachets,110.0,100,4.3,Sweet&Slim 100
Abu Auf Ground Cumin 35 Gram,25.75,100,4.5,Abu Auf
Rehana Icing Sugar 1 Kg,62.95,100,4.6,Rehana Icing
"Galaxy Minis Smooth Milk Chocolate, Share Moments of Chocolate Delight with Galaxy Silky Smooth Chocolate, 13 x 162.5g",145.0,100,4.2,Galaxy Minis
"NESCAFÉ DOLCE GUSTO Espresso Intenso Coffee 16 Capsules, Black",415.0,100,4.4,NESCAFÉ DOLCE
"Mozn Sukker Stevia - 48 Sachets, 2 Spoonful - Diet Sugar Sweetener (Special Offer 2 Packs)",170.0,100,4.3,Mozn Sukker
Jelly King Bites Sour 40gm,17.0,100,3.3,Jelly King
Sweetal sugar stevia (50 sachets),84.0,100,4.2,Sweetal sugar
Sweetal Diet Sugar Offer (2 Packs) x 300 Tablets,250.0,100,4.4,Sweetal Diet
Sweetal diet sugar 50 pack,78.9,100,4.6,Sweetal diet
"Yamama Pomegranate Molasses, 300ml",124.95,100,4.7,Yamama Pomegranate
city pharma Ethyl Alcohol - 1L,97.0,100,4.0,city pharma
Juhayna Mix Vanilla Juice 200 ml,10.45,100,4.6,Juhayna Mix
Lion Caramel & Chocolate Breakfast Cereal - 400 gm,149.2,100,4.4,Lion Caramel
Al Gahez Instant Pasta – Beef Sauce Flavor – 63 g,19.25,50,3.2,Al Gahez
Verde Sugar free candy butter scotch,58.0,50,4.1,Verde Sugar
ISIS Ginger 20 Bags,25.95,100,4.1,ISIS Ginger
"Magic Moments Raw Cocoa Powder, 100g",62.0,100,1.8,Magic Moments
"Al Doha Pop Corn Cereals, 500 gm",74.95,100,4.5,Al Doha
"Caffe Borbone Espresso Intenso, Whole Coffee Beans 2.2 Pound (Pack of 1), Full-Bodied with Strong and Creamy Chocolate and Toast Notes",870.0,100,4.3,Caffe Borbone
"Abu Auf Cocoa Coffe and Chocolate Protein Bar, 70 gm",65.73,100,4.0,Abu Auf
First Cola 250 ml,6.85,50,3.2,First Cola
Chefy Mix Demi Glace Sauce 40 gm,16.46,100,4.2,Chefy Mix
Wadi Food Jalapeno Sliced - 1 kg Jar,54.5,100,4.4,Wadi Food
Abu Auf Popcorn Caramel & Chocolate 100 gm,28.01,50,3.9,Abu Auf
"Red Bull Energy Drink, 250ml",55.95,100,4.4,Red Bull
"Chocolate Hazelnut Spread – 900 g | Premium Smooth Chocolate & Roasted Hazelnut Cream | Palm Oil Free | Perfect for Pancakes, Crepes, Desserts, Pastries & Breakfast",166.0,50,3.7,Chocolate Hazelnut
Limitless Lactase,351.9,100,3.9,Limitless Lactase
"Steviana Natural Sweetener From Stevia Leaves, Zero Calorie - 250g (100 Satches x 2.5g)",470.0,100,4.1,Steviana Natural
"Abu Auf Filtered American Coffee, 200 Gm",210.0,100,4.0,Abu Auf
"Tang Mango With Vitamin C - Set of 12, 25 gm",107.4,100,4.3,Tang Mango
Nespresso Ispirazione Firenze Arpeggio Coffee Capsules Intenso,499.99,100,4.5,Nespresso Ispirazione
"ONIC NATURALLY YOURS Coconut Flour – 450g | Gluten-Free & Low-Carb | Ideal for Keto & Vegan Baking | 100% Natural, Snow White Color",75.0,100,4.3,ONIC NATURALLY
"Lavida Mustard Sauce, 1kg",94.0,100,4.4,Lavida Mustard
Abu Auf Jelly Benson Dinosaur 65 Gm,22.15,100,4.2,Abu Auf
Haj Arafa Demi Glass Spices 35 g,14.0,100,4.3,Haj Arafa
"Royal Herbs dream herbal drink, 20 pouches",40.5,100,4.3,Royal Herbs
Abu Auf Turkish Coffee Medium Roast 200g,220.0,100,4.1,Abu Auf
"ILOU Good France Smoked Mayonnaise, 400ml",44.95,100,4.4,ILOU Good
"Stroop Wafel Biscuits with Cinnamon, 30g",5.6,50,3.7,Stroop Wafel
"Al Doha Whole Beans Cardamom, 40 gm",145.0,100,4.5,Al Doha
"Alattar pomegranate (kajarat) 24 Bags herbal tea bags,36 gm",100.0,100,4.2,Alattar pomegranate
Harvest Sweetened Wheat Belila Porridge 400 g,20.0,50,4.6,Harvest Sweetened
سكر أبيض فاخر من السعيد - 1 كيلو (1 كيلو),35.95,50,4.4,سكر أبيض
"Ahmad Tea Green Tea Loose , 250gm",132.0,50,4.4,Ahmad Tea
Tolido Sardine in vegetable Oil - 125 Grams,47.06,100,3.6,Tolido Sardine
Mero Ketchup Premium - 340g+ Mayonnaise Premium 320ml,67.5,100,4.0,Mero Ketchup
Bake Rolz Nacho Family Size (90g),15.96,50,4.3,Bake Rolz
"Ferrero rocher chocolate, 37.5 gm",65.95,100,4.3,Ferrero rocher
كابوتشينو دايت من اول داي ١٢كيس *١٢ جرام All day Cappuccino diet,119.45,100,4.2,كابوتشينو دايت
Juhayna Pina Colada Flavor Juice 1 Liter,38.0,100,4.4,Juhayna Pina
Mr.Food Dry Yellow Lentils 500gm,40.0,100,4.3,Mr.Food Dry
Heinz Ketchup Catchy 4.25Kg,251.0,100,4.2,Heinz Ketchup
"Ahmad Tea Rosehip, Hibiscus & Cherry 20 Foil",130.0,100,4.3,Ahmad Tea
LAKANTO Monkfruit Natural Sweetener - Pouch 454gm,340.01,100,4.2,LAKANTO Monkfruit
Oreo Chocolate Creme Filled Biscuit 3 cookies (26.25g) pack of 12,84.0,100,4.5,Oreo Chocolate
Chefy Mix Mixed Grill Marinade 35 gm,11.11,100,4.1,Chefy Mix
Doritos Ketchup Jalapeno Tortilla Chips (55 g-70 g),10.0,50,4.6,Doritos Ketchup
Bab elsham Italian Spice mix - 53gm,59.0,100,4.8,Bab elsham
Tiger Excellence Premium - Thai Sweet Chili,15.0,50,5.0,Tiger Excellence
ISIS Hibiscus 50 Bgas,54.95,100,4.5,ISIS Hibiscus
Funday Salted Biscuit Crackers With Cheese 40Gm,7.5,50,2.6,Funday Salted
Al-Yemeni cardamom coffee 200g light,348.8,100,4.3,Al-Yemeni cardamom
Al Doha Milled Black Pepper - 70 grams,84.95,50,4.5,Al Doha
Haj Arafa Paprika 35 g,17.0,100,4.5,Haj Arafa
Ben Suleiman بن ساده وسط توليفه سليمان - قهوة تركي - 500 جرام - سهلة الفتح,249.99,50,3.7,Ben Suleiman
Habouba Coconut basbousa 380 gm,24.0,100,4.0,Habouba Coconut
Abu Kass Indian Mazza Basmati Rice - 1 kg,193.5,100,4.6,Abu Kass
Lavida Burger Texas Sauce 385g,74.0,100,3.6,Lavida Burger
Rehana yellow lentils - 500 gm,47.0,100,4.5,Rehana yellow
OUJAJ HIMALAYAN PINK,34.45,100,4.6,OUJAJ HIMALAYAN
Lakanto Hazelnut Chocolate Spread - Sugar Free - 250gm,234.0,100,4.2,Lakanto Hazelnut
Afia Tuna Solid in Sunflower Oil 185gm,71.1,100,4.3,Afia Tuna
"Tola Nestle 2 Finger Biscuit, 31g",9.75,50,4.1,Tola Nestle
El rashidy el mizan strawberry jam - 340 gm,25.5,50,4.1,El rashidy
"Pepsi, Carbonated Soft Drink, 240ml Can",13.45,300,3.8,"Pepsi, Carbonated"
Shots Turkish Coffee Cardamom Roast Regular Blend - 250 gm,175.0,100,3.8,Shots Turkish
Almashreq Gardinz Import & Trade Dobella Vanilla Food Liquid 60 ml,34.44,100,4.6,Almashreq Gardinz
"NAN Optipro Stage 2 (6 - 12 months), 400g",334.2,100,4.4,NAN Optipro
"Sante Granola with Chocolate, 350 g",157.95,100,4.4,Sante Granola
Juhayna classics juice cocktail 1 liter,33.95,50,4.6,Juhayna classics
"Caffe Borbone Espresso Beans - Whole Bean ITALIAN Coffee (Miscela Blu, 1KG)",900.0,100,4.2,Caffe Borbone
Tolido Pomegranate Molasses - 325 ml,45.65,100,4.0,Tolido Pomegranate
Abu Auf Puffs with chili and lemon Flavor 40 gm,10.95,50,4.1,Abu Auf
iSiS Natural Caraway Herbal Tea – 20 Envelopes,22.95,100,4.2,iSiS Natural
Harvest fava beans with tahini - 400 gm,21.5,50,4.2,Harvest fava
Dubai Chocolate Kunafa Pistachio Bar – 145 g | Premium Middle Eastern Chocolate Bar | Crunchy Kunafa & Pistachio Filling | No Palm Oil | Luxury Dessert Experience,150.0,50,3.6,Dubai Chocolate
El Shamadan El Shabah Mega Yallow 6 Piece,30.0,100,4.0,El Shamadan
"Ponky Fingers Potato Snack, Original Salt, 60g",15.0,100,3.8,Ponky Fingers
El Rashidi El Mizan tahina 225 gm,60.2,100,4.7,El Rashidi
"Sonbolat El Forat Basbousa Mix, 1kg",79.7,200,4.0,Sonbolat El
Marvel 85% Cocoa Dark Chocolate Bar 90 g,70.0,100,3.9,Marvel 85%
"Spuds craft cooked Sea Salt, 40-50 gm",11.0,50,4.8,Spuds craft
ToraBika Cappuccino,250.0,100,4.5,ToraBika Cappuccino
Sweetal - diet sugar - 75 count,81.0,100,4.4,Sweetal -
Giardino Cheesy pet 285gm,57.6,100,3.9,Giardino Cheesy
"Aslan Juice Apple, 1 L",37.0,50,1.0,Aslan Juice
Abu Auf Biscuit With Cheese Flavor- 80 gm,20.0,50,3.8,Abu Auf
Lavazza Il Mattino 250gm,360.0,50,4.3,Lavazza Il
McVitie's Digestive Light Wheat Biscuits - 250gm,41.0,50,4.2,McVitie's Digestive
Beyti Kol Youm Guava 225ml,5.95,50,3.4,Beyti Kol
Ganna New Zealand 2.5Kg,271.0,50,5.0,Ganna New
Gro Barista Lactous Free Coconut Milk 200 ml,29.45,100,3.1,Gro Barista
"Heinz Hot Sauce, 170 gm",34.75,100,4.4,Heinz Hot
5Minutes Chocolate cake - 400gm,48.5,100,4.3,5Minutes Chocolate
Imtenan Cinnamon Powder 55 g,50.85,100,4.6,Imtenan Cinnamon
Bab ElSham Chunky Regular Chicken Seasoning - 100 Grams,29.55,50,4.6,Bab ElSham
ISIS Cinnamon 20 Bags,25.95,100,4.2,ISIS Cinnamon
Oscar natural nuts - nougt with peanuts 180 gm,50.07,100,3.5,Oscar natural
Verde Sugar free candy fruits,58.0,50,3.7,Verde Sugar
Imtenan Organic apple vinegar 250 ml,116.0,100,4.0,Imtenan Organic
Chipsy with Tomato flavor potato Chips (50 g-70 g),10.0,50,3.0,Chipsy with
Ahmad Tea English Breakfast Tea 250G,178.0,100,4.5,Ahmad Tea
D'amore Hot Chocolate plan 10 sachets 30 grams each,90.0,50,3.7,D'amore Hot
ISIS Green Tea with MInt 20 Bags,31.45,100,4.2,ISIS Green
Raw Kettle Cooked Potatoes Sea Salt 100-110,25.0,50,4.4,Raw Kettle
"Abu Auf Cooking Oats, 450 gm",66.25,100,4.4,Abu Auf
El Bawadi (Tahini 470 gm + Molasses 350 gm),143.5,50,4.6,El Bawadi
"First One Orange Soda, 250 ml",7.01,50,2.0,First One
Wadi Food Harissa Paste 190gm Jar,22.45,100,4.1,Wadi Food
First Pineapple Drink 250 ml,7.36,50,3.6,First Pineapple
"ILOU Good France Classic Ranch Dressing, 200g",40.0,100,4.2,ILOU Good
Haj Arafa Kofta Spices 35 g,10.0,50,4.2,Haj Arafa
Ahmad Tea London Blend Fine 200gm,105.0,100,4.3,Ahmad Tea
Mr. Food Wheat - 500g.,22.8,50,4.3,Mr. Food
HHMJSM 12 Pcs Square Glass Spice Jars with Natural Bamboo Lids - 5oz Airtight Herb Containers with 148 Waterproof Minimalist Spice Labels Preprinted - Empty Small Seasoning Jars for Kitchen Pantry,459.0,100,4.2,HHMJSM 12
Lavida Rizo Sauce 430g,64.0,100,4.1,Lavida Rizo
"ILOU Good France 1000 Island Dressing, 400ml",60.0,100,4.4,ILOU Good
Royal Hills Sweet Corn 400 g,41.25,100,4.1,Royal Hills
"Balea Mivolis Diet Sugar Tablets 1200 Count – German-Made Sweetener – Low Calorie Sugar Substitute – Ideal for Keto, Diabetics & Weight Management – Easy Dispensing – Vegan & Gluten-Free.",222.0,100,4.4,Balea Mivolis
Scrunch - belgian dark chocolate barks with almond and cranberry 35g,54.5,100,4.0,Scrunch -
loka olive oil 100% virgin premium 1 liter,248.99,100,3.7,loka olive
Al Doha Alexandrian Koshary - 320gm,30.95,100,4.0,Al Doha
Ali Café Classic 2 In 1 Instant Coffee - 12 sachets,125.0,100,4.0,Ali Café
Al Doha beyti rice - 320gm,22.5,10,4.1,Al Doha
Mero box of 250 sachet ketchup - 7g,110.0,100,4.0,Mero box
Al Doha Whole Beans Colves - 40 grams,82.95,100,4.4,Al Doha
Elsalhya Garden Minced Garlic 200 gm,28.0,100,3.5,Elsalhya Garden
Baker Heaven Pure White Chocolate Bar 200 Gm,42.0,50,3.6,Baker Heaven
Ahmad Tea Blackcurrant Burst 20 Foil,78.5,100,4.4,Ahmad Tea
Abu Auf Snacks lentil Honey mustard 60 Gram,20.0,50,4.1,Abu Auf
Bake Rolz Ketchup Super Size (60g),10.0,50,4.4,Bake Rolz
Sugar free Belgian Dark Chocolate Bar,64.5,100,3.4,Sugar free
Almarai Treats milk 200ml Strawberry 6 Save 6 EGP,153.95,200,4.6,Almarai Treats
Nestlé Coffee Mate Coffee Creamer 170g,80.0,100,4.4,Nestlé Coffee
CERELAC Wheat Without Milk 125g,40.0,100,4.4,CERELAC Wheat
Wadi food mixed pickles - 1 kg jar,53.0,100,4.2,Wadi food
Cadbury Dairy Milk Minis Bubbly Chocolate Bars - 12Pcs (156g),200.0,50,5.0,Cadbury Dairy
Al Doha Cinnamon sticks (Jar) - 125gm,135.95,100,4.4,Al Doha
"Lavazza Crema e Gusto Ricco Coffee, Arabica and Robusta, Nespresso Original Compatible Aluminum capsules, Pack of 10 capsules",239.0,100,4.3,Lavazza Crema
"Dobella pizza and bakery white flour, 1kg",42.22,100,4.6,Dobella pizza
"Bab Elsham Bay Leaves, 5gm",14.95,100,4.4,Bab Elsham
Nido Fiber Milk Powder 500g,205.2,100,4.5,Nido Fiber
Al Kabous Fine Black Tea 100g,42.75,100,4.3,Al Kabous
Naturesta Hot Sauce Sriracha 79g – Mini Bold Sriracha Flavor – Diet and Keto-Friendly Spicy Kick,93.0,100,3.6,Naturesta Hot
Nestogen Growing-up milk from 1-3 years - 200 grams,125.0,50,4.2,Nestogen Growing-up
Eco Healthy - Whole Grain Oats - 1 kg,110.0,50,4.1,Eco Healthy
"Davidoff Creama Elegant Lungo Harmonious and Aromatic Coffee Capsules, 5.5 gm, Pack of 10",250.0,100,4.4,Davidoff Creama
Abu Auf Mixed Nuts 200 gm,252.4,100,3.9,Abu Auf
