Product_Name,Price,Monthly_Purchases,Ratings,Brand
Infinity 0meg Rx Gum Offer 60 Pieces + 30 Pieces,189.0,1000,4.3,Infinity 0meg
V7 vitamin sparkling drink 100% natural flavors - blueberry 300ml,13.25,900,4.3,V7 vitamin
Cadbury Double Chocolate Delight Biscuits - (34g) pack of 9 - Package May Vary,130.05,1000,4.4,Cadbury Double
Knorr 11 Spices Seasoning (Pack Of 10),29.5,1000,4.3,Knorr 11
"Elmatbakh Egyption Rice, 1 KG",33.35,1000,4.4,Elmatbakh Egyption
"Lipton Black Tea, English Breakfast For Bold Taste & Intense Aroma, 25 Teabags",30.45,1000,4.4,Lipton Black
NESCAFÉ Classic Jar 95g,133.95,1000,4.4,NESCAFÉ Classic
Naturesta Mustard Yellow 266g – Zesty Yellow Mustard Sauce – Diet and Keto-Friendly,100.0,1000,4.0,Naturesta Mustard
Al Tawoos Natural Vinegar - 6 Liter,69.0,1000,4.6,Al Tawoos
Wadi Food Vinegar - Natural 1 L PET,19.0,1000,4.7,Wadi Food
Tang jar Orange With Vitamin C 450 gm,89.25,600,4.0,Tang jar
"Ulker dates 54 gm, set of 6",34.5,1000,4.3,Ulker dates
Italiano Risoni - 400 Grams,21.95,1000,4.7,Italiano Risoni
Nescafe Gold 3in1 21g - 12 sachet,120.0,1000,4.4,Nescafe Gold
"Dobella whole wheat diet flour, 1 kg",42.22,1000,4.4,Dobella whole
"El Maleka Maleka Macaroni Small rings, Yellow - 400 gm",13.95,1000,4.6,El Maleka
"Lamar Mango Drink, 200 ml",6.95,900,3.9,Lamar Mango
Kamara By Luck biscuits stuffed with dates(6 pcs),30.0,800,4.0,Kamara By
El Maleka Meloky Spaghetti 400 g,15.75,1000,4.4,El Maleka
Rabea Extra strong loos 250g,48.0,1000,4.4,Rabea Extra
Indomie Instant Noodles Vegetables Flavour - Jumbo Pack - 100g,8.95,900,4.2,Indomie Instant
Sweetal diet sugar jar 250 gram,117.9,1000,4.4,Sweetal diet
Tawtaw CocoaBiscuit Marshmallow Dipped 35 Gm (12pcs),60.0,900,4.0,Tawtaw CocoaBiscuit
"FOX Combo Snacks - Peanuts Baked Puffs, 29-39 gm",5.0,600,3.9,FOX Combo
"Heinz Tomato Ketchup, 285 gm",39.5,1000,4.7,Heinz Tomato
"Indomie instant noodles meat flavour, 70 gm",6.0,800,4.2,Indomie instant
Italiano serpentini 400g,23.5,1000,4.5,Italiano serpentini
Harvest Plain Fava Beans - 400 gm,16.95,700,4.4,Harvest Plain
"Dreem Strawberry Jelly, 210 gm",31.75,900,4.5,Dreem Strawberry
"Dolphin Tuna Shredded,200 gm - Easy Open",48.05,1000,4.1,Dolphin Tuna
Lamar Skimmed milk 1 Liter,46.95,1000,4.5,Lamar Skimmed
Macaroni with Mac & Cheese Sauce,30.0,900,3.8,Macaroni with
Hawaa All Purpose Flour 1 kg,25.5,1000,4.4,Hawaa All
Heinz Tomato Paste - 360 gm,34.65,1000,4.6,Heinz Tomato
"Al Doha Egyptian natural dry breadcrumbs, 300 g",22.0,1000,4.6,Al Doha
El maleka penne pasta - 1 kg,32.95,1000,4.5,El maleka
